customer_id,gender,birth_year,city,loyalty_tier,signup_date
LC000001,Female,1998,Tacloban,Blue,1/26/2025
LC000002,Female,1976,Mandaue,Blue,12/11/2023
LC000003,Female,1994,Quezon City,Silver,5/14/2025
LC000004,Female,1958,Makati,Gold,6/17/2020
LC000005,Female,1962,Calamba,Blue,9/9/2023
LC000006,Male,1989,Bacolod,Silver,6/15/2023
LC000007,Male,1996,Bacolod,Silver,2/27/2020
LC000008,Female,1968,Batangas City,Platinum,3/9/2024
LC000009,Male,1963,Makati,Platinum,10/17/2020
LC000010,Female,1976,Zamboanga City,Blue,5/20/2025
LC000011,Female,2006,Batangas City,Gold,8/25/2024
LC000012,Male,1981,Makati,Blue,4/26/2023
LC000013,Male,1965,Malolos,Silver,12/23/2021
LC000014,Male,1995,Lapu-Lapu,Gold,5/20/2025
LC000015,Female,2002,Zamboanga City,Blue,9/18/2021
LC000016,Male,1977,Iligan,Silver,11/2/2020
LC000017,Male,1997,Tacloban,Blue,4/6/2025
LC000018,Male,1983,Taguig,Platinum,5/1/2023
LC000019,Female,1989,Cagayan de Oro,Blue,9/24/2022
LC000020,Male,1997,San Fernando,Silver,9/26/2023
LC000021,Male,1980,Lapu-Lapu,Blue,4/21/2021
LC000022,Female,2006,Quezon City,Silver,10/7/2023
LC000023,Male,1981,Cagayan de Oro,Platinum,7/1/2022
LC000024,Male,1999,Quezon City,Blue,6/13/2022
LC000025,Female,1974,Pasig,Blue,9/11/2021
LC000026,Female,1983,Davao City,Blue,6/28/2022
LC000027,Female,1978,Lapu-Lapu,Blue,1/23/2023
LC000028,Male,1973,Davao City,Gold,5/6/2020
LC000029,Female,1962,Batangas City,Gold,7/23/2025
LC000030,Male,1979,Makati,Silver,10/3/2022
LC000031,Female,1991,Davao City,Silver,6/20/2024
LC000032,Female,1991,Pasig,Blue,6/16/2024
LC000033,Male,1996,Bacolod,Silver,4/22/2025
LC000034,Female,1959,Mandaue,Silver,5/3/2023
LC000035,Male,1961,Davao City,Blue,12/13/2023
LC000036,Female,1998,Makati,Blue,2/1/2025
LC000037,Female,1963,Pasig,Blue,10/6/2021
LC000038,Female,1975,Batangas City,Blue,6/28/2025
LC000039,Male,1959,Davao City,Blue,6/13/2025
LC000040,Female,1995,Caloocan,Silver,10/4/2023
LC000041,Male,1998,Iligan,Blue,5/19/2021
LC000042,Female,1996,Davao City,Gold,9/16/2022
LC000043,Male,1997,Iligan,Blue,11/9/2025
LC000044,Male,2002,Cagayan de Oro,Gold,12/10/2024
LC000045,Male,1964,Iloilo City,Platinum,2/9/2023
LC000046,Male,1979,Calamba,Gold,10/3/2021
LC000047,Male,1979,Manila,Blue,1/26/2022
LC000048,Male,1963,Cagayan de Oro,Blue,10/28/2024
LC000049,Male,1966,Makati,Blue,9/2/2025
LC000050,Male,1991,Cebu City,Blue,11/14/2023
LC000051,Male,2003,Malolos,Blue,7/1/2023
LC000052,Female,1993,Caloocan,Blue,3/19/2022
LC000053,Male,1983,Tagum,Blue,1/20/2021
LC000054,Male,1977,Laoag,Blue,9/8/2021
LC000055,Female,1985,Zamboanga City,Blue,8/20/2024
LC000056,Male,2000,Zamboanga City,Silver,7/22/2023
LC000057,Male,1992,Batangas City,Gold,5/25/2025
LC000058,Female,1998,Makati,Blue,7/14/2023
LC000059,Male,2005,Laoag,Blue,12/2/2022
LC000060,Female,2006,Iligan,Blue,10/25/2023
LC000061,Male,1974,Bacolod,Blue,3/18/2022
LC000062,Male,1984,Bacolod,Silver,2/12/2022
LC000063,Female,1986,Taguig,Blue,3/18/2025
LC000064,Female,1986,Tacloban,Blue,7/27/2024
LC000065,Female,1999,Davao City,Blue,11/13/2023
LC000066,Male,1964,Mandaue,Blue,3/23/2021
LC000067,Female,2003,Malolos,Platinum,4/19/2025
LC000068,Male,1992,Malolos,Blue,7/7/2022
LC000069,Male,1996,Dagupan,Silver,3/15/2023
LC000070,Male,1973,Cagayan de Oro,Gold,8/19/2020
LC000071,Female,1997,Batangas City,Silver,3/10/2021
LC000072,Female,1983,Zamboanga City,Silver,12/6/2021
LC000073,Male,1995,Malolos,Blue,8/14/2024
LC000074,Female,1972,Taguig,Blue,5/10/2023
LC000075,Male,1987,Manila,Silver,9/16/2023
LC000076,Female,1983,Lapu-Lapu,Platinum,2/28/2022
LC000077,Male,1972,Antipolo,Silver,12/7/2020
LC000078,Male,1980,Manila,Blue,8/8/2023
LC000079,Female,2000,Dagupan,Silver,3/17/2024
LC000080,Male,1972,Cebu City,Silver,9/14/2020
LC000081,Female,1973,Cebu City,Silver,7/25/2021
LC000082,Female,1962,Manila,Blue,7/14/2023
LC000083,Female,1970,Laoag,Gold,8/15/2023
LC000084,Male,1991,Cagayan de Oro,Silver,5/12/2022
LC000085,Male,1975,Makati,Gold,12/20/2023
LC000086,Female,1969,Bacolod,Silver,8/28/2021
LC000087,Male,2003,Laoag,Blue,10/7/2021
LC000088,Female,1977,Bacolod,Blue,3/18/2022
LC000089,Female,1986,Mandaue,Silver,12/19/2023
LC000090,Female,2002,Calamba,Blue,8/11/2024
LC000091,Male,1969,Iloilo City,Silver,2/8/2023
LC000092,Male,1971,Taguig,Blue,1/13/2023
LC000093,Female,1999,Bacolod,Blue,2/10/2025
LC000094,Female,1994,Tagum,Silver,12/14/2023
LC000095,Female,1979,Tacloban,Blue,8/9/2020
LC000096,Female,1995,Tacloban,Blue,5/13/2021
LC000097,Female,1982,Tagum,Blue,8/18/2022
LC000098,Female,1989,Calamba,Blue,11/7/2022
LC000099,Female,1971,Taguig,Silver,8/24/2022
LC000100,Male,1973,Tagum,Gold,5/9/2023
LC000101,Male,1975,Zamboanga City,Blue,6/5/2023
LC000102,Female,2005,San Fernando,Blue,10/10/2021
LC000103,Male,1992,Iligan,Blue,2/4/2022
LC000104,Male,1959,Cagayan de Oro,Blue,10/24/2022
LC000105,Male,1986,Quezon City,Blue,2/16/2023
LC000106,Female,1964,Iloilo City,Blue,4/8/2024
LC000107,Female,1968,Batangas City,Blue,3/5/2022
LC000108,Male,1972,Bacolod,Silver,12/3/2024
LC000109,Male,1981,Makati,Blue,11/2/2021
LC000110,Female,1991,Taguig,Blue,1/17/2023
LC000111,Female,1993,Cagayan de Oro,Silver,4/1/2022
LC000112,Female,1988,Tacloban,Gold,5/13/2023
LC000113,Male,1984,Davao City,Blue,3/8/2025
LC000114,Male,1992,Calamba,Gold,5/12/2022
LC000115,Male,1985,Makati,Gold,5/27/2022
LC000116,Female,1970,Tacloban,Silver,3/3/2021
LC000117,Female,2005,Lapu-Lapu,Blue,10/23/2024
LC000118,Male,2002,Lapu-Lapu,Blue,2/9/2025
LC000119,Male,2006,Taguig,Blue,2/14/2024
LC000120,Male,1986,Taguig,Blue,11/3/2021
LC000121,Male,1967,Mandaue,Silver,12/16/2020
LC000122,Female,2002,Tacloban,Blue,10/10/2022
LC000123,Female,1981,Calamba,Blue,10/15/2022
LC000124,Male,2000,Antipolo,Silver,1/23/2021
LC000125,Female,1975,Manila,Gold,5/13/2022
LC000126,Female,1995,Makati,Blue,9/6/2020
LC000127,Female,1985,Laoag,Blue,11/11/2025
LC000128,Female,1987,Calamba,Blue,9/18/2025
LC000129,Male,1972,Manila,Gold,12/5/2024
LC000130,Female,1961,Tagum,Blue,11/14/2023
LC000131,Female,1996,Davao City,Blue,9/7/2022
LC000132,Female,1996,Zamboanga City,Blue,3/15/2021
LC000133,Male,1960,Davao City,Silver,7/24/2022
LC000134,Male,2005,Malolos,Blue,2/19/2025
LC000135,Male,1984,Mandaue,Blue,11/23/2022
LC000136,Male,1971,Cagayan de Oro,Silver,7/14/2023
LC000137,Male,1966,Zamboanga City,Blue,8/17/2021
LC000138,Male,1965,Calamba,Blue,4/14/2023
LC000139,Female,1970,Zamboanga City,Silver,7/24/2025
LC000140,Male,1963,Bacolod,Blue,2/27/2020
LC000141,Female,1981,Bacolod,Silver,5/14/2021
LC000142,Male,1976,Mandaue,Blue,10/17/2021
LC000143,Male,1980,Iloilo City,Blue,8/6/2022
LC000144,Female,1973,Cebu City,Silver,9/16/2024
LC000145,Female,1999,Davao City,Silver,11/23/2020
LC000146,Male,1969,Makati,Blue,6/9/2021
LC000147,Female,2004,Dagupan,Blue,8/14/2022
LC000148,Female,1983,Tagum,Blue,11/24/2025
LC000149,Female,1985,Makati,Gold,8/8/2023
LC000150,Female,1976,Zamboanga City,Blue,1/6/2022
LC000151,Male,1965,Taguig,Blue,7/21/2025
LC000152,Male,1958,Quezon City,Silver,3/26/2021
LC000153,Female,2002,Calamba,Blue,1/27/2022
LC000154,Male,1996,Cagayan de Oro,Blue,10/19/2022
LC000155,Male,1964,Manila,Blue,7/10/2020
LC000156,Female,1979,Cebu City,Gold,9/23/2022
LC000157,Male,1983,Malolos,Blue,8/28/2022
LC000158,Male,1994,Quezon City,Blue,12/14/2023
LC000159,Female,1989,Tagum,Gold,4/7/2024
LC000160,Male,2004,Quezon City,Blue,6/26/2021
LC000161,Female,2001,Laoag,Silver,4/7/2021
LC000162,Male,1961,Cagayan de Oro,Blue,4/11/2022
LC000163,Female,1994,Quezon City,Blue,12/19/2022
LC000164,Male,1962,Quezon City,Silver,3/13/2022
LC000165,Male,1980,Cebu City,Blue,2/5/2023
LC000166,Male,1974,Cebu City,Silver,11/14/2021
LC000167,Male,2005,Calamba,Blue,1/22/2025
LC000168,Male,1967,Cagayan de Oro,Silver,9/14/2021
LC000169,Female,1977,Bacolod,Blue,9/20/2023
LC000170,Male,1999,Tacloban,Blue,5/24/2021
LC000171,Male,1966,Taguig,Silver,2/14/2025
LC000172,Male,1966,Taguig,Gold,2/4/2024
LC000173,Male,2005,Manila,Silver,11/4/2024
LC000174,Female,2001,Manila,Platinum,1/6/2022
LC000175,Female,2002,Iligan,Blue,10/6/2025
LC000176,Male,1966,Tagum,Blue,3/28/2021
LC000177,Male,1958,Iligan,Blue,5/22/2025
LC000178,Female,1997,Bacolod,Blue,9/15/2025
LC000179,Male,1971,Calamba,Silver,8/12/2022
LC000180,Male,1982,Lapu-Lapu,Silver,11/23/2025
LC000181,Male,2003,Makati,Silver,5/11/2024
LC000182,Female,1986,Dagupan,Blue,7/11/2023
LC000183,Female,1987,Tagum,Blue,7/21/2023
LC000184,Female,1989,Tacloban,Gold,4/2/2021
LC000185,Female,2001,Quezon City,Silver,7/4/2023
LC000186,Female,1986,Makati,Silver,11/13/2025
LC000187,Female,2002,Antipolo,Silver,12/1/2020
LC000188,Male,1999,Makati,Blue,7/6/2024
LC000189,Female,1993,Cebu City,Silver,7/2/2024
LC000190,Female,2003,Iloilo City,Silver,2/25/2023
LC000191,Male,1966,Cagayan de Oro,Blue,11/5/2024
LC000192,Female,1970,Makati,Blue,7/10/2022
LC000193,Female,1998,Pasig,Blue,5/12/2024
LC000194,Male,2005,Makati,Silver,6/5/2024
LC000195,Female,1997,Malolos,Blue,6/11/2025
LC000196,Female,1980,Calamba,Blue,9/13/2023
LC000197,Female,1983,Iligan,Gold,1/5/2025
LC000198,Male,1995,Quezon City,Blue,10/11/2025
LC000199,Female,1974,Iloilo City,Blue,2/21/2025
LC000200,Male,1968,Makati,Silver,11/3/2022
LC000201,Female,1997,Lapu-Lapu,Blue,4/27/2021
LC000202,Female,1990,Zamboanga City,Blue,9/3/2020
LC000203,Male,1967,Iligan,Gold,7/2/2023
LC000204,Male,1965,Tagum,Silver,12/9/2024
LC000205,Male,1997,Lapu-Lapu,Silver,7/11/2024
LC000206,Male,1992,Makati,Blue,3/26/2022
LC000207,Female,1987,Tagum,Blue,11/21/2022
LC000208,Male,2003,Tagum,Silver,10/7/2021
LC000209,Male,2003,Mandaue,Blue,1/21/2023
LC000210,Male,1965,Taguig,Blue,1/21/2022
LC000211,Male,1961,Dagupan,Blue,4/14/2020
LC000212,Male,1986,Davao City,Blue,1/4/2020
LC000213,Female,1990,Tacloban,Blue,3/26/2020
LC000214,Female,1966,Iloilo City,Blue,9/14/2023
LC000215,Female,1996,Calamba,Silver,5/26/2023
LC000216,Female,1977,Caloocan,Blue,9/5/2023
LC000217,Male,1980,Batangas City,Blue,2/5/2021
LC000218,Female,1971,Batangas City,Blue,9/20/2022
LC000219,Male,1994,Lapu-Lapu,Blue,6/21/2025
LC000220,Male,1977,Caloocan,Blue,7/27/2022
LC000221,Male,1965,Antipolo,Blue,12/17/2025
LC000222,Female,1963,Cebu City,Blue,8/20/2020
LC000223,Female,1964,Laoag,Blue,5/12/2020
LC000224,Female,1977,Cagayan de Oro,Silver,11/25/2023
LC000225,Male,1983,Iligan,Blue,11/17/2025
LC000226,Female,2006,Iligan,Blue,5/11/2020
LC000227,Male,1967,Iloilo City,Silver,11/22/2021
LC000228,Female,2003,Pasig,Silver,7/23/2020
LC000229,Male,1986,Davao City,Blue,6/9/2021
LC000230,Male,1996,Caloocan,Silver,2/15/2020
LC000231,Male,1988,Malolos,Blue,7/11/2022
LC000232,Male,1975,Malolos,Silver,10/10/2021
LC000233,Male,1961,Mandaue,Blue,11/16/2021
LC000234,Female,2005,Manila,Blue,1/11/2020
LC000235,Female,2005,Iligan,Silver,3/16/2022
LC000236,Male,2002,Dagupan,Silver,3/2/2022
LC000237,Female,1989,Pasig,Blue,3/11/2025
LC000238,Male,1967,Manila,Blue,4/9/2025
LC000239,Male,1987,Iloilo City,Silver,5/18/2022
LC000240,Male,1986,Calamba,Silver,1/9/2025
LC000241,Male,1982,Tacloban,Blue,3/9/2024
LC000242,Male,1993,Zamboanga City,Silver,2/9/2024
LC000243,Female,1982,San Fernando,Blue,2/1/2024
LC000244,Female,1965,Tagum,Blue,5/18/2025
LC000245,Male,1990,Caloocan,Blue,3/9/2025
LC000246,Female,1980,Lapu-Lapu,Silver,12/13/2020
LC000247,Female,1971,Taguig,Blue,12/15/2021
LC000248,Male,2004,Tagum,Blue,10/19/2022
LC000249,Male,2005,Davao City,Gold,10/10/2025
