transaction_id,transaction_date,store_id,product_id,customer_id,quantity,unit_price,discount_pct,gross_amount,net_amount,payment_method
TXN0017890,10/6/2024 9:26,S020,P0022,LC003148,3,32.25,10,96.75,87.08,Cash
TXN0021466,1/17/2025 0:00,S005,P0067,no customer id,1,25,0,25,25,Cash
TXN0012027,6/1/2025 9:10,S010,P0119,LC003927,4,354.75,0,1419,1419,Cash
TXN0018450,7/8/2024 11:43,S016,P0032,LC003960,2,27.75,20,55.5,44.4,Cash
TXN0002711,12/23/2024 17:23,S004,P0102,LC004991,6,89,0,534,534,Cash
TXN0002113,7/28/2024 22:07,S007,P0073,LC002189,1,47.5,0,47.5,47.5,Cash
TXN0045647,4/24/2025 19:42,S017,P0048,LC005580,2,120,0,240,240,Cash
TXN0034661,3/14/2024 10:51,S018,P0117,LC005968,4,180.25,0,721,721,Cash
TXN0003387,12/22/2025 10:54,S020,P0103,no customer id,1,197.5,5,197.5,187.62,Cash 
TXN0002889,12/7/2025 0:00,S010,P0086,LC000353,3,68.5,5,205.5,195.22,Cash 
TXN0018912,10/27/2024 0:00,S016,P0001,no customer id,3,74.75,0,224.25,224.25,G-Cash
TXN0005146,7/22/2024 0:00,S014,P0080,LC001762,1,124.75,0,124.75,124.75,Cash
TXN0040553,3/24/2024 18:26,S012,P0018,LC003143,2,50,0,100,100,Maya
TXN0010179,11/21/2024 17:26,S021,P0038,LC005304,4,73.25,0,293,293,G-Cash
TXN0020871,12/21/2025 0:00,S020,P0076,no customer id,2,98.5,10,197,177.3,Cash
TXN0029228,5/31/2025 12:19,S009,P0105,no customer id,2,50,0,100,100,Cash 
TXN0033569,8/10/2025 12:14,S015,P0061,LC004041,1,170,0,170,170,Cash 
TXN0005729,8/2/2025 0:00,S017,P0110,LC001758,6,211.75,0,1270.5,1270.5,G-Cash
TXN0026207,7/7/2025 22:59,S001,P0021,LC000564,1,40.5,0,40.5,40.5,Cash 
TXN0032171,7/21/2024 0:00,S022,P0054,no customer id,5,33.5,0,167.5,167.5,Cash
TXN0025001,8/7/2025 8:52,S015,P0073,LC004869,3,47.5,0,142.5,142.5,Gcash
TXN0002518,8/2/2025 0:00,S017,P0021,LC004538,1,40.5,15,40.5,34.42,Gcash
TXN0028674,2/29/2024 11:58,S003,P0119,LC000968,3,354.75,0,1064.25,1064.25,Gcash
TXN0029864,6/22/2024 0:00,S020,P0062,no customer id,4,127.75,15,511,434.35,Gcash
TXN0035506,11/27/2024 18:22,S014,P0007,no customer id,2,29,0,58,58,Cash
TXN0032767,2/28/2025 0:00,S018,P0096,no customer id,5,203,0,1015,1015,Cash
TXN0005068,12/23/2024 19:38,S014,P0028,LC002957,3,10,5,30,28.5,Credit Card
TXN0038450,11/5/2025 0:00,S018,P0035,LC004956,1,264.75,0,264.75,264.75,Cash
TXN0031932,6/16/2024 17:54,S020,P0088,no customer id,6,140,0,840,840,Card
TXN0009585,9/8/2024 11:20,S001,P0056,LC005293,8,116.75,15,934,793.9,G-Cash
TXN0014858,8/11/2024 9:55,S003,P0062,no customer id,8,127.75,10,1022,919.8,Gcash
TXN0038826,7/21/2024 10:10,S012,P0079,LC002817,1,215.25,5,215.25,204.49,G-Cash
TXN0013345,7/4/2025 16:06,S017,P0024,LC002425,10,33.5,10,335,301.5,Gcash
TXN0031982,10/26/2025 19:58,S015,P0071,LC003511,4,60.75,0,243,243,Cash
TXN0002154,7/1/2024 10:00,S017,P0082,no customer id,2,34.5,15,69,58.65,Card
TXN0028614,6/11/2025 17:15,S014,P0012,LC002706,12,58.25,0,699,699,Gcash
TXN0045806,4/3/2025 14:31,S005,P0116,LC005969,10,78.75,0,787.5,787.5,G-Cash
TXN0000189,10/4/2024 14:19,S004,P0120,no customer id,3,216.75,0,650.25,650.25,Cash
TXN0038895,7/24/2024 11:15,S009,P0086,LC001521,2,68.5,0,137,137,Cash 
TXN0035363,4/8/2025 0:00,S007,P0038,LC000550,6,73.25,0,439.5,439.5,Cash
TXN0040459,10/12/2025 16:11,S004,P0041,LC002410,1,206.5,0,206.5,206.5,Cash
TXN0034287,8/14/2025 0:00,S014,P0100,LC003694,8,190.5,0,1524,1524,Card
TXN0048971,9/9/2025 0:00,S020,P0059,no customer id,5,55.75,0,278.75,278.75,Gcash
TXN0048797,7/15/2025 12:52,S009,P0066,LC000985,8,161.25,10,1290,1161,Gcash
TXN0048761,9/8/2024 0:00,S016,P0116,LC001907,1,78.75,15,78.75,66.94,Paymaya
TXN0024193,3/13/2024 0:00,S024,P0073,no customer id,3,47.5,5,142.5,135.38,Gcash
TXN0010446,5/18/2024 9:58,S002,P0013,no customer id,10,55,0,550,550,Cash
TXN0017609,12/7/2025 22:48,S005,P0037,LC000757,4,26,20,104,83.2,Gcash
TXN0034548,12/15/2025 0:00,S022,P0074,LC002887,12,46.5,0,558,558,Maya
TXN0026813,10/4/2024 18:30,S004,P0008,LC004883,1,13,0,13,13,Cash
TXN0018691,12/6/2025 0:00,S023,P0001,LC003622,3,74.75,0,224.25,224.25,Cash
TXN0021790,4/6/2024 15:09,S010,P0059,no customer id,2,55.75,0,111.5,111.5,Gcash
TXN0021002,9/21/2024 18:38,S024,P0004,LC003797,1,58.75,0,58.75,58.75,Cash
TXN0015288,9/22/2025 15:26,S009,P0013,no customer id,2,55,0,110,110,Cash
TXN0012737,5/31/2024 18:17,S018,P0087,LC004703,3,50.75,0,152.25,152.25,Gcash
TXN0035252,11/6/2025 0:00,S016,P0117,no customer id,1,180.25,0,180.25,180.25,Cash 
TXN0018773,2/26/2025 0:00,S020,P0029,LC004375,2,26.5,0,53,53,Cash
TXN0048277,1/4/2025 9:20,S018,P0010,LC004154,2,24.5,20,49,39.2,Card
TXN0028591,11/3/2025 20:16,S020,P0120,no customer id,3,216.75,0,650.25,650.25,Cash 
TXN0004789,4/18/2025 0:00,S014,P0111,no customer id,6,212,5,1272,1208.4,Cash
TXN0032989,3/30/2024 21:46,S002,P0045,no customer id,2,193.5,0,387,387,Cash
TXN0037995,5/8/2025 10:09,S014,P0115,no customer id,8,86.25,5,690,655.5,Gcash
TXN0006739,4/8/2025 0:00,S017,P0097,LC004654,1,107.5,5,107.5,102.12,Cash
TXN0035511,8/14/2024 11:28,S009,P0068,LC003896,12,39.5,15,474,402.9,Cash
TXN0041021,9/27/2024 0:00,S002,P0034,LC001183,2,26,5,52,49.4,Gcash
TXN0039159,8/13/2024 0:00,S001,P0091,LC001042,2,193.25,20,386.5,309.2,Gcash
TXN0035212,4/7/2025 0:00,S016,P0040,LC002707,8,105,0,840,840,Card
TXN0001064,11/16/2025 20:55,S019,P0061,LC005638,2,170,0,340,340,G-Cash
TXN0040504,12/23/2025 18:59,S001,P0082,LC005528,1,34.5,0,34.5,34.5,Cash
TXN0023316,10/14/2024 10:08,S017,P0065,no customer id,2,56.25,0,112.5,112.5,Gcash
TXN0008268,12/6/2025 0:00,S002,P0005,LC003393,12,56.75,5,681,646.95,G-Cash
TXN0038879,4/27/2024 0:00,S021,P0058,no customer id,2,125.25,0,250.5,250.5,G-Cash
TXN0013980,1/21/2024 0:00,S020,P0015,LC005677,3,92,0,276,276,Cash
TXN0002228,12/31/2025 0:00,S010,P0056,LC000505,1,116.75,0,116.75,116.75,Cash
TXN0012626,2/8/2024 12:17,S008,P0011,LC005004,3,18.5,5,55.5,52.72,Gcash
TXN0016508,6/13/2024 0:00,S009,P0001,LC000060,12,74.75,0,897,897,Cash 
